id,name,tier,glass,method,garnish,ing_count,ing_1_amount,ing_1_name,ing_2_amount,ing_2_name,ing_3_amount,ing_3_name,ing_4_amount,ing_4_name,ing_5_amount,ing_5_name,ing_6_amount,ing_6_name,ing_7_amount,ing_7_name,ing_8_amount,ing_8_name,ing_9_amount,ing_9_name,ing_10_amount,ing_10_name
naked-and-famous,Naked & Famous,4,Coupe glass,Shake all ingredients with ice. Strain into chilled glass.,Lime wheel,4,2.25 cl,Del Maguey VIDA mezcal,2.25 cl,Bittersweet orange-red aperitivo,2.25 cl,Yellow Chartreuse liqueur,2.25 cl,Lime juice (freshly squeezed),,,,,,,,,,,,
jungle-bird,Jungle Bird,4,Old-fashioned glass,Stir all ingredients over ice. Strain into glass over fresh ice.,Luxardo cherry,5,4.5 cl,Dark/black/blackstrap rum,1.5 cl,Italian red bitter liqueur,4.5 cl,Pineapple juice (fresh pressed),1.5 cl,Lime juice (freshly squeezed),1.25 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)",,,,,,,,,,
navy-grog,Navy Grog,4,Double old-fashioned,Muddle fruit/herbs in shaker. Add remaining ingredients. Shake with ice. Strain into glass.,Lime wheel,8,3 cl,Bacardi Carta Blanca light rum,3 cl,Havana Club 7yo rum,3 cl,Navy rum (54.5% alc./vol.),0.75 cl,Pimento dram liqueur,0.75 cl,Demerara / dark Muscovado sugar syrup (2 sugar to 1 water),0.75 cl,Honey syrup (3 honey to 1 water),2.25 cl,Grapefruit juice (pink),2.25 cl,Lime juice (freshly squeezed),,,,
saturn,Saturn,4,Sling glass,Muddle fruit/herbs in shaker. Add remaining ingredients. Shake with ice. Strain into glass.,Lemon twist,5,4.5 cl,Rutte Dry Gin,0.75 cl,Difford's Falernum liqueur,0.75 cl,Giffard Orgeat Syrup,0.75 cl,Passion fruit syrup,1.5 cl,Lemon juice (freshly squeezed),,,,,,,,,,
chartreuse-swizzle,Chartreuse Swizzle,4,Collins glass,Build ingredients directly in glass over ice. Stir gently.,Luxardo cherry,4,4.5 cl,Green Chartreuse liqueur,1.5 cl,Difford's Falernum liqueur,4.5 cl,Pineapple juice (fresh pressed),2.25 cl,Lime juice (freshly squeezed),,,,,,,,,,,,
toronto,Toronto,4,Coupe glass,Shake all ingredients with ice. Strain into chilled glass.,Orange twist,5,5.25 cl,Canadian blended whisky,0.75 cl,Fernet liqueur,0.75 cl,Maple syrup,1 dash,Angostura Aromatic Bitters,1 cl,Chilled water (omit if using wet ice),,,,,,,,,,
chet-baker,Chet Baker,4,Old-fashioned glass,Stir all ingredients over ice. Strain into glass over fresh ice.,Lemon twist,3,6 cl,Caribbean blended rum aged 6-10 years,1.5 cl,Rosso/rouge (sweet) vermouth,1 spoon,Honey syrup (3 honey to 1 water),,,,,,,,,,,,,,
final-ward,Final Ward,4,Coupe glass,Shake all ingredients with ice. Strain into chilled glass.,Lemon twist,4,2.25 cl,Straight rye whiskey (100 proof / 50% alc./vol.),2.25 cl,Green Chartreuse liqueur,2.25 cl,Luxardo Maraschino liqueur,2.25 cl,Lemon juice (freshly squeezed),,,,,,,,,,,,
southside,Southside,4,Coupe glass,Muddle mint and sugar gently in shaker. Add remaining ingredients. Shake with ice. Fine strain into glass.,Mint sprig,4,7 fresh,Mint leaves,6 cl,Rutte Dry Gin,2.5 cl,Lime juice (freshly squeezed),1.5 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)",,,,,,,,,,,,
elderflower-collins,Elderflower Collins,4,Collins glass,Shake base ingredients with ice. Strain into glass. Top with soda.,Lemon twist,6,5 cl,Rutte Dry Gin,1.5 cl,St-Germain elderflower liqueur,0.5 cl,Luxardo Maraschino liqueur,3 cl,Lemon juice (freshly squeezed),1 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)",2.5 cl,Thomas Henry Soda Water,,,,,,,,
mexican-firing-squad,Mexican Firing Squad,4,Highball (max 10oz/300ml),Build ingredients directly in glass over ice. Stir gently.,Orange twist,4,6 cl,Patrón Reposado tequila,2 cl,Lime juice (freshly squeezed),1.25 cl,Giffard Grenadine syrup,2 dash,Angostura Aromatic Bitters,,,,,,,,,,,,
pornstar-martini,Pornstar Martini,2,Coupe glass,"Shake vodka, passion fruit purée, lime juice and syrup with ice. Strain into chilled coupe glass. Serve with prosecco shot on the side.",Half passion fruit,5,4 cl,Vanilla vodka,4 cl,Passion fruit purée,1.5 cl,Lime juice (freshly squeezed),1.5 cl,Vanilla syrup,6 cl,Prosecco (served alongside),,,,,,,,,,
porto-flip,Porto Flip,3,Coupe glass,Shake all ingredients with ice. Strain into chilled glass.,Fresh nutmeg,4,4.5 cl,Ruby port,4.5 cl,Cognac,1,Egg yolk,0.75 cl,Simple syrup,,,,,,,,,,,,
angostura-colada,Angostura Colada,4,Hurricane glass,Blend all ingredients with crushed ice. Pour into glass.,Pineapple wedge & cherry,4,4.5 cl,Angostura bitters,3 cl,Pineapple juice,3 cl,Coconut cream,1.5 cl,Lime juice (freshly squeezed),,,,,,,,,,,,
la-louisiana,La Louisiana,4,Coupe glass,Stir all ingredients over ice. Strain into chilled glass.,Lemon twist,5,3 cl,Rye whiskey,3 cl,Sweet vermouth,1.5 cl,Bénédictine,2 dash,Peychaud's bitters,2 dash,Absinthe,,,,,,,,,,
cucumber-gimlet,Cucumber Gimlet,4,Coupe glass,Muddle cucumber with simple syrup. Add gin and lime. Shake with ice. Fine strain into glass.,Cucumber slice,4,6 cl,Gin,2 cl,Lime juice (freshly squeezed),1.5 cl,Simple syrup,3 slice,Cucumber,,,,,,,,,,,,
champs-elysees,Champs-Élysées,4,Coupe glass,Shake all ingredients with ice. Strain into chilled coupe glass.,Lemon twist,5,5 cl,Cognac,1.5 cl,Yellow Chartreuse,1.5 cl,Lemon juice (freshly squeezed),1 cl,Simple syrup,1 dash,Angostura Aromatic Bitters,,,,,,,,,,
